"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-09-13 20:04:21 013219447_278_000_0","CHOOSE","","28,312.07","Ratification Poll for Strategic Happiness Core Unit, SH-001 - September 13, 2021","Yes",""
"2021-09-07 20:23:15 013180794_146_000_0","CHOOSE","","28,312.07","Community Greenlight Poll - RAI (Rai Reflex Index) - September 6, 2021","Yes (Greenlight)",""
"2021-09-07 20:23:15 013180794_146_000_0","CHOOSE","","28,312.07","Community Greenlight Poll - RARE (SuperRare) - September 6, 2021","Yes (Greenlight)",""
"2021-09-04 11:01:57 013158792_126_000_1","VOTE","","28,312.07","Parameter Changes, September Core Unit Budgets, DssVest Streams - September 3, 2021","",""
"2021-09-04 11:01:57 013158792_126_000_0","MOVE VOTE","","28,312.07","Vault Onboarding, 6s Updates, and Reducing Vault Liquidation Ratios - August 20, 2021","",""
"2021-09-02 16:00:00 013147236_000_000","FINAL_CHOICE","","28,312.07","Lower the Flash Mint Fee (toll) to 0% - August 30, 2021","Yes",""
"2021-09-02 16:00:00 013147236_000_000","FINAL_CHOICE","","28,312.07","Add RWA007 (SolarX) as a new RWA Vault Type - August 30, 2021","Yes",""
"2021-08-30 16:08:22 013127876_019_000_0","CHOOSE","","28,312.07","Add RWA007 (SolarX) as a new RWA Vault Type - August 30, 2021","Yes",""
"2021-08-30 16:08:22 013127876_019_000_0","CHOOSE","","28,312.07","Lower the Flash Mint Fee (toll) to 0% - August 30, 2021","Yes",""
"2021-08-30 16:00:00 013127846_000_000","FINAL_CHOICE","","28,312.07","Community Greenlight Poll - CNC1-DROP (CapitalNow Cannabis DROP) - August 16, 2021","Yes (Greenlight)",""
"2021-08-30 16:00:00 013127846_000_000","FINAL_CHOICE","","28,312.07","Community Greenlight Poll - NCP01-DROP (Nebula Capital Partners DROP) - August 16, 2021","Yes (Greenlight)",""
"2021-08-30 16:00:00 013127846_000_000","FINAL_CHOICE","","28,312.07","Community Greenlight Poll - CGFF-DROP (Cauris Global Fintech Fund DROP) - August 16, 2021","Yes (Greenlight)",""
"2021-08-28 16:09:06 013114886_141_000_000_001_1","UP-VOTE","","28,312.07","Vault Onboarding, 6s Updates, and Reducing Vault Liquidation Ratios - August 20, 2021","",""
"2021-08-28 16:09:06 013114886_141_000_000_001_0","STAKE","183.73","28,312.07","","",""
